Name,BSE Code,NSE Code,Industry,Current Price,Promoter holding,Sales,Current ratio,Debt to equity,Price to book value,Return on capital employed,Return on equity,Price to Earning,Dividend yield,Market Capitalization,Cash end of last year,High price all time,Dividend Payout
Krishna Vent.,504392,,Construction,22.65,74.63,0.00,1.00,0.00,2.02,-1.31,-1.31,,0.00,24.46,0.01,781.00,0.00
Kriti Industries,526423,KRITIIND,Plastics Products,134.75,66.34,590.64,2.07,0.53,4.97,31.57,31.03,16.09,0.15,668.36,21.96,158.00,2.75
Kriti Nutrients,533210,,Solvent Extraction,42.60,66.35,679.32,4.41,0.04,2.11,21.06,15.94,24.12,0.42,213.43,5.18,56.95,5.98
Kritika Wires,,KRITIKA,Steel - Medium / Small,32.60,72.89,134.90,2.97,0.48,0.89,4.23,1.21,74.19,0.00,57.87,6.04,42.50,0.00
Krsnaa Diagnost.,543328,KRSNAA,Healthcare,747.85,27.38,396.46,3.00,0.08,3.64,129.30,1061.60,12.68,0.00,2348.07,152.91,1099.70,0.00
Krypton Industri,523550,,Tyres,13.61,26.91,45.26,4.21,0.55,0.69,9.16,6.07,10.11,0.00,20.01,2.76,79.01,0.00
KSB,500249,KSB,Pumps,1289.55,66.69,1416.80,1.94,0.08,4.82,17.53,10.98,30.79,0.66,4488.92,403.35,1375.00,31.55
KSE,519421,KSE,Food - Processing - Indian,2300.80,25.72,1569.68,3.75,0.17,3.03,65.70,56.03,8.38,4.35,736.26,7.84,4000.00,28.34
Kshitij Polyline,,KSHITIJPOL,Plastics Products,35.15,66.68,24.25,6.97,0.91,1.98,5.58,0.00,,0.00,35.61,0.83,45.65,
Ksolves India,,KSOLVES,Computers - Software - Medium / Small,343.40,68.02,23.89,4.65,0.00,32.89,161.06,120.30,51.08,4.73,407.14,7.38,409.50,74.28
Kuantum Papers,532937,KUANTUM,Paper,82.60,70.31,503.83,1.94,0.78,0.85,0.34,-0.49,108.23,0.00,720.80,16.12,103.95,0.00
Kuber Udyog,539408,,Finance & Investments,0.94,0.00,0.24,128.00,0.69,0.09,-5.74,-8.65,,0.00,0.32,1.34,95.00,0.00
Kuberan Global,543289,,Miscellaneous,14.50,68.63,0.09,,1.70,,0.00,0.00,,,3.05,0.04,20.50,
Kumbhat Fin.,526869,,Finance & Investments,7.30,13.71,0.18,81.40,0.00,0.82,-18.55,-18.76,,0.00,3.47,4.07,10.71,0.00
Kunststoff Inds.,523594,,Plastics Products,26.00,44.00,11.82,1.81,0.00,1.37,11.57,9.94,16.74,0.00,17.91,3.56,60.60,0.00
Kush Industries,514240,SUZLONFIBR,Textiles - Processing,4.17,56.95,0.05,37.75,,,-11.98,,,0.00,6.36,0.46,33.45,0.00
Kushal,536170,,Paper,3.79,65.69,4.84,0.20,0.07,0.08,-7.36,-7.91,,0.00,93.81,0.44,305.55,0.00
Kuwer Industries,530421,,Packaging,7.50,41.31,59.72,2.83,1.44,0.41,5.57,2.32,,0.00,6.81,0.07,52.70,0.00
Kwality Credit,531206,,Finance & Investments,8.35,0.00,0.33,9.73,0.00,0.34,-4.33,-4.61,,0.00,3.52,0.07,151.55,0.00
Kwality Pharma,539997,,Pharmaceuticals - Indian - Bulk Drugs,818.90,54.13,262.01,1.83,0.67,13.89,26.14,28.27,56.09,0.00,849.71,5.81,922.80,0.00
L & T Infotech,540005,LTI,Computers - Software - Large,5823.95,74.25,12883.10,1.82,0.11,13.97,37.00,30.47,50.61,0.69,102020.37,759.40,6498.50,36.16
L G Balakrishnan,500250,LGBBROSLTD,Auto Ancillaries,481.40,41.98,1806.92,1.94,0.09,1.72,19.64,16.83,9.10,2.08,1511.23,146.44,682.00,23.52
L T Foods,532783,DAAWAT,Food - Processing - Indian,68.35,56.81,4634.43,4.61,0.89,1.25,14.75,16.90,8.16,1.46,2186.14,29.97,110.00,5.83
L&T Fin.Holdings,533519,L&TFH,Finance & Investments,90.85,63.59,13466.81,7.42,4.72,1.20,7.86,5.80,22.46,0.00,22466.18,8426.97,198.90,0.00
L&T Technology,540115,LTTS,Computers - Software - Medium / Small,4615.30,74.23,5673.40,1.81,0.00,13.98,29.35,20.73,63.68,0.48,48543.17,232.70,5000.00,34.83
La Opala RG,526947,LAOPALA,Glass & Glass Products,307.90,65.64,233.34,1.70,0.00,5.13,10.40,8.08,55.60,0.49,3417.69,4.35,372.00,33.59
La Tim Metal & I,505693,,Trading,84.00,62.25,442.71,1.46,2.00,4.10,53.87,189.76,2.84,0.60,74.18,8.14,499.00,2.50
Lactose (India),524202,,Pharmaceuticals - Indian - Bulk Drugs,41.40,49.13,37.23,3.89,1.34,1.37,2.82,-7.21,,0.00,47.35,2.66,190.05,0.00
Ladam Affordab.,540026,,Construction,4.20,58.84,3.93,1.39,0.53,0.26,0.54,-0.37,,0.00,7.69,7.30,16.65,0.00
